class_overlap,ece_cal,ece_improvement,ece_raw,env_burst,filename,label_noise,macro_f1,model,seed,stress_score,temperature,macro_f1_processed,ece_raw_log,ece_cal_log,temperature_winsorized
0.4,0.006099636514981588,28.134602669208608,0.008487584764758745,0.1,paperA_cnn_hard_s2_cla0p4_env0p1_lab0p1.json,0.1,0.9810608199515932,cnn,2,0.6,1.276158332824707,0.9810608199515932,0.008451767741171207,0.006081109034599624,1.276158332824707
0.4,0.003301042556762696,37.61597739519955,0.005291487177213033,0.2,paperA_cnn_hard_s2_cla0p4_env0p2_lab0p0.json,0.0,0.9892368411652863,cnn,2,0.6000000000000001,1.4069101810455322,0.9892368411652863,0.00527753645069342,0.003295606076531618,1.3034519672393798
0.4,0.002859877119461695,-2.433187932721661,0.0027919438779354096,0.2,paperA_cnn_hard_s2_cla0p4_env0p2_lab0p05.json,0.05,0.9929204603655148,cnn,2,0.6500000000000001,1.0076416730880737,0.9929204603655148,0.00278805364182506,0.0028557954510873293,1.0076416730880737
0.4,0.004010435218612353,-8.192579957701899,0.0037067562490701676,0.2,paperA_cnn_hard_s2_cla0p4_env0p2_lab0p1.json,0.1,0.9857733675949637,cnn,2,0.7000000000000001,1.0330482721328735,0.9857733675949637,0.0036999031580628766,0.004002414859560117,1.0330482721328735
0.8,0.024291348417599997,7.631354221893134,0.026298261940479278,0.0,paperA_cnn_hard_s2_cla0p8_env0p0_lab0p0.json,0.0,0.703198411271061,cnn,2,0.8,1.0671887397766113,0.8417408664237727,0.02595840814815149,0.024001006088256487,1.0671887397766113
0.8,0.013747052649656933,42.72986180852719,0.024003875464200974,0.0,paperA_cnn_hard_s2_cla0p8_env0p0_lab0p05.json,0.05,0.7074086159114719,cnn,2,0.8500000000000001,1.0499796867370605,0.8417408664237727,0.0237203112431631,0.013653419069307969,1.0499796867370605
0.8,0.021721251259247464,36.62998685643301,0.034276860902706784,0.0,paperA_cnn_hard_s2_cla0p8_env0p0_lab0p1.json,0.1,0.7066618947541067,cnn,2,0.9,1.0846797227859497,0.8417408664237727,0.03370249740497767,0.021488706300313333,1.0846797227859497
0.8,0.008872291480501494,39.25413297493706,0.014605588684479396,0.1,paperA_cnn_hard_s2_cla0p8_env0p1_lab0p0.json,0.0,0.9371735182617171,cnn,2,0.9,1.1958131790161133,0.9371735182617171,0.014499954399109649,0.008833163965946089,1.1958131790161133
0.8,0.006203137983878454,-1.4382597703393938,0.006115185727675757,0.1,paperA_cnn_hard_s2_cla0p8_env0p1_lab0p05.json,0.05,0.9472175826243409,cnn,2,0.9500000000000001,1.0077699422836304,0.9472175826243409,0.006096563858331762,0.006183977718477388,1.0077699422836304
0.8,0.008166970084110894,32.3575483992719,0.012073734601338704,0.1,paperA_cnn_hard_s2_cla0p8_env0p1_lab0p1.json,0.1,0.9467201487335356,cnn,2,1.0,1.1388916969299316,0.9467201487335356,0.01200142848909534,0.008133800856284333,1.1388916969299316
