filename,label_noise,macro_f1,model,noise_category
paperA_bilstm_hard_s3_cla0p4_env0p1_lab0p1.json,0.1,0.930933135744368,bilstm,10%
paperA_bilstm_hard_s3_cla0p4_env0p2_lab0p0.json,0.0,0.9436305961909183,bilstm,0%
paperA_bilstm_hard_s3_cla0p4_env0p2_lab0p05.json,0.05,0.9283583273028758,bilstm,5%
paperA_bilstm_hard_s3_cla0p4_env0p2_lab0p1.json,0.1,0.9356065794946883,bilstm,10%
paperA_bilstm_hard_s3_cla0p8_env0p0_lab0p0.json,0.0,0.7029401846637029,bilstm,0%
paperA_bilstm_hard_s3_cla0p8_env0p0_lab0p05.json,0.05,0.7130026717396302,bilstm,5%
paperA_bilstm_hard_s3_cla0p8_env0p0_lab0p1.json,0.1,0.7228367289532258,bilstm,10%
paperA_bilstm_hard_s3_cla0p8_env0p1_lab0p0.json,0.0,0.8897655699395601,bilstm,0%
paperA_bilstm_hard_s3_cla0p8_env0p1_lab0p05.json,0.05,0.7023934938240581,bilstm,5%
paperA_bilstm_hard_s3_cla0p8_env0p1_lab0p1.json,0.1,0.9268810189299432,bilstm,10%
paperA_bilstm_hard_s3_cla0p8_env0p2_lab0p0.json,0.0,0.9549846051392137,bilstm,0%
paperA_bilstm_hard_s3_cla0p8_env0p2_lab0p05.json,0.05,0.9471651265150578,bilstm,5%
paperA_bilstm_hard_s3_cla0p8_env0p2_lab0p1.json,0.1,0.9546959993933848,bilstm,10%
paperA_bilstm_hard_s4_cla0p0_env0p0_lab0p0.json,0.0,0.9996519631978837,bilstm,0%
paperA_bilstm_hard_s4_cla0p0_env0p0_lab0p05.json,0.05,0.9996837257742728,bilstm,5%
paperA_bilstm_hard_s4_cla0p0_env0p0_lab0p1.json,0.1,0.9996774172065246,bilstm,10%
paperA_bilstm_hard_s4_cla0p0_env0p1_lab0p0.json,0.0,0.9996519631978837,bilstm,0%
paperA_bilstm_hard_s4_cla0p0_env0p1_lab0p05.json,0.05,0.9996700327098009,bilstm,5%
